Select,Company,Email,Country,Status
False,F6s,support@f6s.com,International,Sent 2025-12-15
False,Publithings,devis@publithings.com,France,Sent 2025-12-15
False,Arenametrix,ludovic.bordes@arenametrix.com,France,Sent 2025-12-15
False,Crowdfund Insider,support@crowdfundinsider.com,International,Pending
False,Crowdfund Insider,info@crowdfundinsider.com,International,Sent 2025-12-15
False,Crowdfund Insider,advertising@crowdfundinsider.com,International,Pending
False,Choose Paris Region,laurence.curti@chooseparisregion.org,France,Sent 2025-12-15
False,Contactout,zvonimir@contactout.io,International,Sent 2025-12-15
False,Business Insider,,International,Pending
False,365 DataScience,team@365datascience.com,International,Sent 2025-12-15
False,Université Paris-Saclay,egalite.diversite@universite-paris-saclay.fr,France,Sent 2025-12-15
False,Startup Rise,contact@startuprise.io,International,Sent 2025-12-15
False,Mistral,press@mistral.ai,International,Sent 2025-12-15
False,Tracxn,compliance-officer@tracxn.com,International,Sent 2025-12-15
False,Mezzoteam,contact@mezzoteam.fr,International,Sent 2025-12-15
False,Silicon Republic,,International,Pending
False,Silicon Republic,editorial@siliconrepublic.com,International,Pending
False,Mytonomy,info@mytonomy.com,International,Pending
False,Playmoolah,info@playmoolah.com,International,Pending
False,Hemingly,founders@hemingly.com,International,Pending
False,Netguru,hello@netguru.com,International,Pending
False,Fintech News,partners@fintechnews.sg,International,Pending
False,150 Bond,seamus.conwell@150bond.com,International,Pending
False,BusinessBecause,info@businessbecause.com,International,Pending
False,"Centre for Finance, Technology and Entrepreneurship",partners@cfte.education,International,Pending
False,"Centre for Finance, Technology and Entrepreneurship",events@cfte.education,International,Pending
False,Devinci,webmaster@devinci.fr,France,Pending
False,ESILV Ecole d'Ingénieurs Généraliste,admissions@esilv.fr,France,Pending
